,RSS,Epc,time,diff
9710,-60.0,9107.0,105151,
9713,-60.0,9107.0,105151,0.0
9715,-60.0,9107.0,105151,0.0
9716,-60.5,9107.0,105166,-0.5
9718,-60.5,9107.0,105166,0.0
9721,-60.5,9107.0,105166,0.0
9722,-60.5,9107.0,105166,0.0
9725,-60.5,9107.0,105166,0.0
9727,-60.0,9107.0,105166,0.5
9729,-60.0,9107.0,105166,0.0
9731,-60.0,9107.0,105166,0.0
9732,-60.5,9107.0,105182,-0.5
9735,-60.0,9107.0,105400,0.5
9737,-60.5,9107.0,105400,-0.5
9739,-60.5,9107.0,105400,0.0
9740,-60.5,9107.0,105400,0.0
9742,-60.5,9107.0,105400,0.0
9744,-60.5,9107.0,105400,0.0
9747,-60.5,9107.0,105400,0.0
9749,-60.5,9107.0,105400,0.0
9751,-60.0,9107.0,105400,0.5
9753,-60.5,9107.0,105400,-0.5
9754,-60.5,9107.0,105400,0.0
9757,-60.5,9107.0,105432,0.0
9758,-60.0,9107.0,105666,0.5
9760,-60.5,9107.0,105666,-0.5
9762,-60.5,9107.0,105666,0.0
9764,-60.5,9107.0,105666,0.0
9766,-60.0,9107.0,105666,0.5
9769,-60.5,9107.0,105666,-0.5
9771,-60.5,9107.0,105666,0.0
9773,-60.5,9107.0,105666,0.0
9774,-60.5,9107.0,105666,0.0
9777,-60.5,9107.0,105666,0.0
9778,-60.5,9107.0,105666,0.0
9781,-60.5,9107.0,105682,0.0
9783,-60.5,9107.0,105916,0.0
9785,-60.5,9107.0,105916,0.0
9786,-60.0,9107.0,105916,0.5
9788,-60.5,9107.0,105916,-0.5
9791,-60.5,9107.0,105916,0.0
9792,-60.5,9107.0,105916,0.0
9794,-60.5,9107.0,105916,0.0
9796,-60.0,9107.0,105916,0.5
9798,-60.5,9107.0,105916,-0.5
9800,-61.0,9107.0,105916,-0.5
9803,-60.5,9107.0,105916,0.5
9805,-60.5,9107.0,105932,0.0
9806,-60.5,9107.0,106151,0.0
9808,-60.5,9107.0,106151,0.0
9810,-60.5,9107.0,106151,0.0
9812,-60.0,9107.0,106151,0.5
9814,-60.0,9107.0,106151,0.0
9817,-60.5,9107.0,106151,-0.5
9819,-60.0,9107.0,106151,0.5
9820,-60.5,9107.0,106151,-0.5
9822,-60.0,9107.0,106151,0.5
9824,-60.5,9107.0,106151,-0.5
9826,-61.0,9107.0,106166,-0.5
9828,-60.5,9107.0,106182,0.5
9831,-60.5,9107.0,106401,0.0
9832,-60.5,9107.0,106401,0.0
9835,-60.5,9107.0,106401,0.0
9836,-60.0,9107.0,106401,0.5
9839,-60.5,9107.0,106401,-0.5
9840,-60.5,9107.0,106401,0.0
9843,-60.5,9107.0,106401,0.0
9844,-60.5,9107.0,106401,0.0
9847,-60.0,9107.0,106401,0.5
9849,-60.0,9107.0,106401,0.0
9851,-60.0,9107.0,106401,0.0
9852,-60.5,9107.0,106431,-0.5
9854,-60.0,9107.0,106650,0.5
9857,-60.0,9107.0,106650,0.0
9858,-60.5,9107.0,106650,-0.5
9861,-60.5,9107.0,106650,0.0
9862,-60.5,9107.0,106650,0.0
9865,-60.0,9107.0,106650,0.5
9866,-60.0,9107.0,106650,0.0
9868,-60.5,9107.0,106650,-0.5
9870,-60.0,9107.0,106650,0.5
9872,-60.0,9107.0,106650,0.0
9875,-60.5,9107.0,106650,-0.5
9877,-60.0,9107.0,106681,0.5
9878,-60.0,9107.0,106681,0.0
9880,-60.0,9107.0,106916,0.0
9883,-60.5,9107.0,106916,-0.5
9884,-60.5,9107.0,106916,0.0
9886,-60.0,9107.0,106916,0.5
9888,-61.0,9107.0,106916,-1.0
9891,-60.5,9107.0,106916,0.5
9892,-61.0,9107.0,106916,-0.5
9894,-61.0,9107.0,106916,0.0
9896,-60.5,9107.0,106916,0.5
9899,-60.5,9107.0,106916,0.0
9900,-61.0,9107.0,106916,-0.5
9903,-60.5,9107.0,106932,0.5
9905,-60.5,9107.0,107150,0.0
9907,-60.0,9107.0,107150,0.5
9909,-60.5,9107.0,107150,-0.5
9911,-60.0,9107.0,107150,0.5
9912,-60.5,9107.0,107150,-0.5
9915,-61.0,9107.0,107150,-0.5
9916,-61.0,9107.0,107150,0.0
9918,-61.0,9107.0,107150,0.0
9921,-61.0,9107.0,107150,0.0
9922,-61.0,9107.0,107150,0.0
9925,-60.5,9107.0,107150,0.5
9926,-61.0,9107.0,107181,-0.5
9928,-60.5,9107.0,107400,0.5
9930,-60.0,9107.0,107400,0.5
9933,-60.0,9107.0,107400,0.0
9935,-60.0,9107.0,107400,0.0
9937,-60.5,9107.0,107400,-0.5
9938,-60.0,9107.0,107400,0.5
9941,-60.0,9107.0,107400,0.0
9943,-60.0,9107.0,107400,0.0
9944,-60.0,9107.0,107400,0.0
9947,-59.5,9107.0,107400,0.5
9948,-59.5,9107.0,107400,0.0
9950,-60.0,9107.0,107431,-0.5
9953,-59.5,9107.0,107650,0.5
9955,-59.5,9107.0,107650,0.0
9957,-59.5,9107.0,107650,0.0
9959,-59.0,9107.0,107650,0.5
