,RSS,Epc,time,diff
752,-56.0,9107.0,7687,
753,-55.5,9107.0,7687,0.5
756,-55.5,9107.0,7687,0.0
758,-55.5,9107.0,7687,0.0
760,-55.5,9107.0,7687,0.0
762,-56.0,9107.0,7687,-0.5
764,-55.5,9107.0,7687,0.5
765,-56.0,9107.0,7687,-0.5
768,-55.5,9107.0,7687,0.5
770,-55.5,9107.0,7687,0.0
772,-55.5,9107.0,7687,0.0
773,-56.0,9107.0,7908,-0.5
775,-55.5,9107.0,7908,0.5
777,-55.5,9107.0,7908,0.0
780,-55.5,9107.0,7908,0.0
781,-55.5,9107.0,7923,0.0
783,-55.5,9107.0,7923,0.0
786,-56.0,9107.0,7923,-0.5
788,-55.5,9107.0,7923,0.5
789,-55.0,9107.0,7923,0.5
792,-55.5,9107.0,7923,-0.5
793,-55.5,9107.0,7923,0.0
796,-55.5,9107.0,7954,0.0
797,-55.5,9107.0,7954,0.0
799,-56.0,9107.0,8189,-0.5
801,-56.0,9107.0,8189,0.0
803,-55.5,9107.0,8189,0.5
806,-55.5,9107.0,8189,0.0
808,-55.5,9107.0,8189,0.0
809,-55.5,9107.0,8189,0.0
812,-55.5,9107.0,8189,0.0
814,-55.5,9107.0,8189,0.0
815,-55.5,9107.0,8189,0.0
817,-55.5,9107.0,8189,0.0
819,-56.0,9107.0,8189,-0.5
822,-55.5,9107.0,8204,0.5
823,-55.5,9107.0,8439,0.0
826,-55.5,9107.0,8439,0.0
828,-55.5,9107.0,8439,0.0
829,-55.5,9107.0,8439,0.0
832,-56.0,9107.0,8439,-0.5
833,-55.5,9107.0,8439,0.5
835,-55.5,9107.0,8439,0.0
837,-56.0,9107.0,8439,-0.5
839,-55.5,9107.0,8439,0.5
841,-55.5,9107.0,8439,0.0
843,-55.5,9107.0,8439,0.0
845,-55.5,9107.0,8454,0.0
848,-56.0,9107.0,8673,-0.5
849,-55.5,9107.0,8673,0.5
852,-56.0,9107.0,8673,-0.5
854,-55.5,9107.0,8673,0.5
855,-56.0,9107.0,8689,-0.5
857,-55.5,9107.0,8689,0.5
859,-55.5,9107.0,8689,0.0
862,-55.5,9107.0,8689,0.0
864,-55.5,9107.0,8689,0.0
865,-55.5,9107.0,8689,0.0
868,-55.5,9107.0,8689,0.0
870,-55.5,9107.0,8704,0.0
872,-55.5,9107.0,8923,0.0
874,-55.5,9107.0,8923,0.0
875,-55.5,9107.0,8923,0.0
877,-55.5,9107.0,8923,0.0
880,-55.5,9107.0,8923,0.0
882,-55.5,9107.0,8923,0.0
883,-55.5,9107.0,8923,0.0
885,-55.5,9107.0,8923,0.0
887,-55.5,9107.0,8923,0.0
890,-55.5,9107.0,8923,0.0
891,-55.5,9107.0,8923,0.0
893,-55.0,9107.0,8954,0.5
895,-55.0,9107.0,9173,0.0
898,-55.0,9107.0,9173,0.0
899,-55.0,9107.0,9173,0.0
902,-55.0,9107.0,9173,0.0
904,-55.5,9107.0,9173,-0.5
905,-55.0,9107.0,9173,0.5
908,-55.0,9107.0,9173,0.0
910,-55.0,9107.0,9173,0.0
911,-55.5,9107.0,9173,-0.5
914,-55.0,9107.0,9173,0.5
915,-55.0,9107.0,9173,0.0
918,-55.0,9107.0,9205,0.0
919,-55.0,9107.0,9423,0.0
921,-55.0,9107.0,9423,0.0
923,-55.0,9107.0,9423,0.0
926,-55.0,9107.0,9423,0.0
928,-55.0,9107.0,9423,0.0
930,-54.5,9107.0,9423,0.5
932,-55.0,9107.0,9423,-0.5
933,-54.5,9107.0,9423,0.5
936,-54.5,9107.0,9423,0.0
937,-54.5,9107.0,9423,0.0
939,-55.0,9107.0,9423,-0.5
941,-55.0,9107.0,9455,0.0
943,-54.5,9107.0,9455,0.5
945,-55.0,9107.0,9689,-0.5
947,-54.5,9107.0,9689,0.5
950,-55.0,9107.0,9689,-0.5
952,-55.0,9107.0,9689,0.0
954,-55.5,9107.0,9689,-0.5
955,-55.0,9107.0,9689,0.5
958,-55.0,9107.0,9689,0.0
959,-55.5,9107.0,9689,-0.5
961,-55.5,9107.0,9689,0.0
963,-55.5,9107.0,9689,0.0
965,-56.0,9107.0,9689,-0.5
968,-56.5,9107.0,9907,-0.5
970,-56.5,9107.0,9907,0.0
971,-56.0,9107.0,9907,0.5
973,-56.0,9107.0,9907,0.0
976,-56.0,9107.0,9907,0.0
977,-56.5,9107.0,9907,-0.5
979,-56.5,9107.0,9907,0.0
982,-56.5,9107.0,9907,0.0
984,-56.0,9107.0,9923,0.5
986,-56.0,9107.0,9923,0.0
987,-56.5,9107.0,9923,-0.5
989,-56.0,9107.0,9954,0.5
991,-56.0,9107.0,9954,0.0
994,-56.5,9107.0,10173,-0.5
995,-56.0,9107.0,10173,0.5
997,-56.0,9107.0,10173,0.0
1000,-56.0,9107.0,10173,0.0
1001,-56.0,9107.0,10173,0.0
1004,-56.0,9107.0,10188,0.0
1005,-56.5,9107.0,10188,-0.5
1007,-56.0,9107.0,10188,0.5
1009,-56.0,9107.0,10188,0.0
1012,-56.0,9107.0,10188,0.0
1014,-56.5,9107.0,10188,-0.5
1015,-56.5,9107.0,10204,0.0
1018,-56.5,9107.0,10423,0.0
1020,-56.5,9107.0,10423,0.0
1022,-56.5,9107.0,10423,0.0
1023,-57.0,9107.0,10423,-0.5
1025,-57.0,9107.0,10423,0.0
1028,-56.5,9107.0,10423,0.5
1029,-57.5,9107.0,10423,-1.0
1031,-56.5,9107.0,10423,1.0
1034,-57.0,9107.0,10423,-0.5
1036,-57.0,9107.0,10423,0.0
1038,-57.0,9107.0,10423,0.0
1040,-57.0,9107.0,10454,0.0
1042,-56.5,9107.0,10689,0.5
1044,-57.0,9107.0,10689,-0.5
1045,-56.0,9107.0,10689,1.0
1048,-56.0,9107.0,10689,0.0
1049,-56.0,9107.0,10689,0.0
1051,-56.5,9107.0,10689,-0.5
1053,-56.0,9107.0,10689,0.5
1056,-55.5,9107.0,10689,0.5
1058,-56.0,9107.0,10689,-0.5
1060,-55.0,9107.0,10689,1.0
1061,-55.5,9107.0,10689,-0.5
1063,-55.0,9107.0,10704,0.5
1065,-55.0,9107.0,10922,0.0
1068,-55.0,9107.0,10922,0.0
1070,-54.5,9107.0,10922,0.5
1072,-54.5,9107.0,10922,0.0
1073,-55.0,9107.0,10922,-0.5
1075,-54.5,9107.0,10922,0.5
1077,-54.5,9107.0,10922,0.0
1079,-54.5,9107.0,10938,0.0
1082,-54.0,9107.0,10938,0.5
1083,-54.0,9107.0,10938,0.0
1085,-53.5,9107.0,10938,0.5
1088,-53.5,9107.0,10954,0.0
1090,-53.5,9107.0,11172,0.0
1091,-53.0,9107.0,11172,0.5
1094,-53.0,9107.0,11172,0.0
1095,-52.5,9107.0,11172,0.5
1097,-52.0,9107.0,11172,0.5
1100,-51.5,9107.0,11172,0.5
1102,-51.5,9107.0,11172,0.0
1104,-51.0,9107.0,11172,0.5
1105,-51.0,9107.0,11172,0.0
1108,-50.5,9107.0,11188,0.5
1109,-50.5,9107.0,11188,0.0
1112,-50.0,9107.0,11204,0.5
1113,-50.0,9107.0,11422,0.0
1116,-50.0,9107.0,11422,0.0
1118,-50.0,9107.0,11422,0.0
1120,-49.5,9107.0,11422,0.5
1121,-49.0,9107.0,11422,0.5
1124,-48.5,9107.0,11422,0.5
1126,-48.5,9107.0,11422,0.0
1127,-48.0,9107.0,11422,0.5
1129,-48.5,9107.0,11422,-0.5
1132,-48.0,9107.0,11422,0.5
1133,-47.5,9107.0,11422,0.5
1136,-47.5,9107.0,11454,0.0
1138,-47.5,9107.0,11674,0.0
1140,-47.5,9107.0,11675,0.0
1142,-47.5,9107.0,11675,0.0
1143,-47.5,9107.0,11675,0.0
1145,-48.0,9107.0,11675,-0.5
1148,-48.0,9107.0,11675,0.0
1150,-48.0,9107.0,11675,0.0
1151,-47.5,9107.0,11675,0.5
1153,-48.0,9107.0,11675,-0.5
1155,-48.0,9107.0,11675,0.0
1157,-48.0,9107.0,11675,0.0
1159,-48.0,9107.0,11706,0.0
1162,-48.0,9107.0,11910,0.0
1163,-48.5,9107.0,11910,-0.5
1166,-49.0,9107.0,11910,-0.5
1167,-49.0,9107.0,11910,0.0
1169,-49.0,9107.0,11910,0.0
1172,-49.0,9107.0,11910,0.0
1174,-49.0,9107.0,11910,0.0
1176,-49.0,9107.0,11910,0.0
1177,-49.0,9107.0,11910,0.0
1179,-49.0,9107.0,11910,0.0
1182,-49.0,9107.0,11925,0.0
1183,-49.5,9107.0,11956,-0.5
1185,-49.0,9107.0,11956,0.5
1187,-49.5,9107.0,12175,-0.5
1189,-49.5,9107.0,12175,0.0
1192,-49.5,9107.0,12175,0.0
1194,-49.5,9107.0,12175,0.0
1195,-50.0,9107.0,12175,-0.5
1197,-49.5,9107.0,12175,0.5
1200,-49.5,9107.0,12191,0.0
1202,-50.0,9107.0,12191,-0.5
1203,-50.0,9107.0,12191,0.0
1206,-50.0,9107.0,12191,0.0
1208,-50.0,9107.0,12191,0.0
1209,-50.0,9107.0,12207,0.0
1211,-50.0,9107.0,12425,0.0
1213,-50.5,9107.0,12425,-0.5
1216,-50.0,9107.0,12425,0.5
1218,-50.5,9107.0,12425,-0.5
1219,-50.5,9107.0,12425,0.0
1221,-50.5,9107.0,12425,0.0
1224,-50.5,9107.0,12425,0.0
1225,-50.5,9107.0,12425,0.0
1228,-51.0,9107.0,12425,-0.5
1230,-50.5,9107.0,12425,0.5
1231,-51.0,9107.0,12425,-0.5
1233,-50.5,9107.0,12456,0.5
1236,-51.0,9107.0,12675,-0.5
1237,-51.0,9107.0,12675,0.0
1239,-51.0,9107.0,12675,0.0
1241,-51.0,9107.0,12675,0.0
1244,-51.0,9107.0,12675,0.0
1245,-51.0,9107.0,12675,0.0
1247,-51.0,9107.0,12675,0.0
1249,-51.0,9107.0,12675,0.0
1252,-51.0,9107.0,12675,0.0
1254,-51.0,9107.0,12675,0.0
1256,-51.0,9107.0,12675,0.0
1257,-51.0,9107.0,12706,0.0
1260,-51.0,9107.0,12925,0.0
1262,-51.0,9107.0,12925,0.0
1264,-51.5,9107.0,12925,-0.5
1265,-51.0,9107.0,12925,0.5
1268,-51.0,9107.0,12925,0.0
1269,-51.0,9107.0,12925,0.0
1271,-51.0,9107.0,12925,0.0
1273,-51.0,9107.0,12925,0.0
1276,-51.0,9107.0,12925,0.0
1277,-51.0,9107.0,12925,0.0
1279,-51.0,9107.0,12925,0.0
1281,-51.0,9107.0,12957,0.0
1283,-51.0,9107.0,13159,0.0
1286,-51.0,9107.0,13175,0.0
1287,-51.5,9107.0,13175,-0.5
1290,-51.0,9107.0,13175,0.5
1292,-51.0,9107.0,13175,0.0
1294,-51.5,9107.0,13175,-0.5
1295,-51.0,9107.0,13175,0.5
1297,-51.0,9107.0,13175,0.0
1299,-51.0,9107.0,13175,0.0
1301,-51.0,9107.0,13175,0.0
1304,-51.0,9107.0,13175,0.0
1305,-51.5,9107.0,13222,-0.5
1307,-51.5,9107.0,13222,0.0
1310,-51.5,9107.0,13441,0.0
1312,-51.5,9107.0,13441,0.0
1313,-51.5,9107.0,13441,0.0
1316,-51.5,9107.0,13441,0.0
1317,-51.5,9107.0,13441,0.0
1319,-51.5,9107.0,13441,0.0
1322,-51.0,9107.0,13441,0.5
1324,-51.5,9107.0,13441,-0.5
1325,-51.0,9107.0,13441,0.5
1327,-54.5,9107.0,13441,-3.5
1330,-55.5,9107.0,13441,-1.0
1331,-55.5,9107.0,13456,0.0
1334,-55.5,9107.0,13675,0.0
1336,-56.0,9107.0,13675,-0.5
1338,-55.5,9107.0,13675,0.5
1340,-56.0,9107.0,13690,-0.5
1342,-55.5,9107.0,13690,0.5
1344,-55.0,9107.0,13690,0.5
1346,-55.5,9107.0,13690,-0.5
1348,-55.5,9107.0,13690,0.0
1349,-56.0,9107.0,13690,-0.5
1351,-55.5,9107.0,13690,0.5
1353,-55.5,9107.0,13690,0.0
1355,-55.5,9107.0,13909,0.0
1358,-55.5,9107.0,13909,0.0
1360,-55.0,9107.0,13909,0.5
1362,-55.5,9107.0,13909,-0.5
1363,-55.5,9107.0,13909,0.0
1366,-55.5,9107.0,13909,0.0
1368,-55.0,9107.0,13909,0.5
1370,-55.5,9107.0,13909,-0.5
1371,-55.5,9107.0,13909,0.0
1374,-55.5,9107.0,13909,0.0
1376,-55.5,9107.0,13909,0.0
1377,-55.5,9107.0,13956,0.0
1379,-55.5,9107.0,13956,0.0
1381,-55.5,9107.0,14175,0.0
1383,-55.5,9107.0,14175,0.0
1386,-55.5,9107.0,14175,0.0
1387,-56.0,9107.0,14175,-0.5
1389,-55.5,9107.0,14175,0.5
1392,-55.5,9107.0,14175,0.0
1393,-55.5,9107.0,14175,0.0
1395,-55.5,9107.0,14175,0.0
1398,-55.5,9107.0,14175,0.0
1399,-55.5,9107.0,14175,0.0
1401,-55.0,9107.0,14175,0.5
1404,-55.0,9107.0,14206,0.0
1406,-55.0,9107.0,14425,0.0
1407,-55.5,9107.0,14425,-0.5
1410,-55.5,9107.0,14425,0.0
1411,-56.0,9107.0,14425,-0.5
1413,-55.5,9107.0,14425,0.5
1415,-55.5,9107.0,14425,0.0
1417,-55.5,9107.0,14425,0.0
1419,-55.5,9107.0,14425,0.0
1421,-55.5,9107.0,14425,0.0
1423,-55.5,9107.0,14425,0.0
1426,-55.0,9107.0,14425,0.5
1427,-55.0,9107.0,14456,0.0
1429,-55.0,9107.0,14659,0.0
1431,-55.5,9107.0,14659,-0.5
1433,-55.5,9107.0,14675,0.0
1435,-55.5,9107.0,14675,0.0
1437,-55.5,9107.0,14675,0.0
1439,-55.5,9107.0,14675,0.0
1442,-55.5,9107.0,14675,0.0
1444,-56.0,9107.0,14675,-0.5
1445,-55.5,9107.0,14675,0.5
