,RSS,Epc,time,diff
6514,-61.5,9107.0,75177,
6516,-62.0,9107.0,75178,-0.5
6519,-61.5,9107.0,75179,0.5
6520,-62.0,9107.0,75180,-0.5
6522,-61.5,9107.0,75180,0.5
6524,-61.5,9107.0,75181,0.0
6526,-61.5,9107.0,75182,0.0
6528,-62.0,9107.0,75182,-0.5
6530,-61.5,9107.0,75183,0.5
6532,-62.0,9107.0,75183,-0.5
6534,-61.5,9107.0,75184,0.5
6537,-62.0,9107.0,75211,-0.5
6539,-62.0,9107.0,75423,0.0
6540,-62.0,9107.0,75424,0.0
6542,-62.5,9107.0,75425,-0.5
6544,-62.0,9107.0,75425,0.5
6546,-62.0,9107.0,75426,0.0
6549,-62.0,9107.0,75427,0.0
6551,-62.0,9107.0,75427,0.0
6553,-62.0,9107.0,75428,0.0
6555,-61.5,9107.0,75429,0.5
6556,-61.5,9107.0,75429,0.0
6558,-62.0,9107.0,75430,-0.5
6561,-61.5,9107.0,75462,0.5
6562,-62.5,9107.0,75668,-1.0
6565,-61.5,9107.0,75669,1.0
6567,-61.5,9107.0,75670,0.0
6568,-62.0,9107.0,75670,-0.5
6571,-62.0,9107.0,75671,0.0
6573,-61.5,9107.0,75672,0.5
6574,-62.0,9107.0,75673,-0.5
6576,-62.0,9107.0,75673,0.0
6578,-62.0,9107.0,75674,0.0
6581,-62.0,9107.0,75675,0.0
6583,-61.0,9107.0,75675,1.0
6585,-62.5,9107.0,75711,-1.5
6587,-61.5,9107.0,75712,1.0
6588,-62.0,9107.0,75934,-0.5
6591,-62.0,9107.0,75935,0.0
6592,-61.5,9107.0,75936,0.5
6594,-61.5,9107.0,75936,0.0
6597,-62.5,9107.0,75938,-1.0
6598,-62.0,9107.0,75939,0.5
6600,-62.0,9107.0,75939,0.0
6602,-61.5,9107.0,75940,0.5
6605,-61.5,9107.0,75940,0.0
6607,-62.5,9107.0,75941,-1.0
6609,-62.0,9107.0,75942,0.5
6611,-62.0,9107.0,75961,0.0
6612,-62.0,9107.0,76185,0.0
6614,-62.0,9107.0,76186,0.0
6616,-62.0,9107.0,76187,0.0
6618,-62.0,9107.0,76187,0.0
6620,-61.5,9107.0,76188,0.5
6623,-61.5,9107.0,76189,0.0
6625,-61.5,9107.0,76190,0.0
6627,-61.5,9107.0,76191,0.0
6629,-62.0,9107.0,76191,-0.5
6630,-62.0,9107.0,76191,0.0
6633,-61.5,9107.0,76192,0.5
6636,-61.5,9107.0,76211,0.0
6637,-62.0,9107.0,76430,-0.5
6640,-62.0,9107.0,76431,0.0
6641,-62.0,9107.0,76432,0.0
6643,-61.5,9107.0,76433,0.5
6645,-62.0,9107.0,76434,-0.5
6648,-61.5,9107.0,76435,0.5
6650,-62.0,9107.0,76436,-0.5
6651,-61.5,9107.0,76437,0.5
6653,-61.0,9107.0,76437,0.5
6655,-61.5,9107.0,76438,-0.5
6658,-62.0,9107.0,76439,-0.5
6659,-61.5,9107.0,76461,0.5
6661,-61.5,9107.0,76675,0.0
6664,-61.5,9107.0,76675,0.0
6665,-61.0,9107.0,76676,0.5
