,RSS,Epc,time,diff
5904,-58.5,9107,62141,
5907,-58.5,9107,62141,0.0
5909,-58.5,9107,62157,0.0
5910,-58.5,9107,62157,0.0
5912,-58.5,9107,62157,0.0
5915,-58.5,9107,62157,0.0
5917,-58.5,9107,62157,0.0
5918,-58.5,9107,62157,0.0
5920,-58.5,9107,62157,0.0
5923,-59.0,9107,62157,-0.5
5925,-58.5,9107,62157,0.5
5926,-58.5,9107,62172,0.0
5928,-59.0,9107,62391,-0.5
5931,-58.5,9107,62391,0.5
5933,-58.5,9107,62407,0.0
5935,-58.5,9107,62407,0.0
5937,-58.5,9107,62407,0.0
5939,-58.5,9107,62407,0.0
5941,-59.0,9107,62407,-0.5
5943,-59.0,9107,62407,0.0
5944,-59.0,9107,62407,0.0
5947,-58.5,9107,62407,0.5
5948,-58.5,9107,62407,0.0
5950,-59.0,9107,62422,-0.5
5953,-59.0,9107,62642,0.0
5955,-58.5,9107,62642,0.5
5957,-58.5,9107,62642,0.0
5959,-58.5,9107,62642,0.0
5960,-58.5,9107,62642,0.0
5963,-59.0,9107,62642,-0.5
5964,-59.0,9107,62642,0.0
5966,-59.0,9107,62642,0.0
5969,-59.0,9107,62657,0.0
5970,-58.5,9107,62657,0.5
5973,-58.5,9107,62657,0.0
5975,-58.5,9107,62672,0.0
5976,-58.5,9107,62688,0.0
5979,-58.5,9107,62906,0.0
5981,-58.5,9107,62906,0.0
5983,-58.5,9107,62906,0.0
5984,-59.0,9107,62906,-0.5
5987,-58.5,9107,62906,0.5
5989,-59.0,9107,62906,-0.5
5990,-58.5,9107,62906,0.5
5992,-59.0,9107,62906,-0.5
5994,-58.5,9107,62906,0.5
5996,-59.0,9107,62906,-0.5
5999,-58.5,9107,62906,0.5
6000,-58.5,9107,62922,0.0
6003,-59.0,9107,63141,-0.5
6004,-58.5,9107,63141,0.5
6006,-58.5,9107,63156,0.0
6008,-59.0,9107,63156,-0.5
6011,-59.0,9107,63156,0.0
6012,-58.5,9107,63172,0.5
6014,-59.0,9107,63172,-0.5
6017,-58.5,9107,63172,0.5
6019,-58.5,9107,63172,0.0
6020,-58.5,9107,63172,0.0
6022,-58.5,9107,63172,0.0
6025,-58.0,9107,63172,0.5
6026,-58.5,9107,63407,-0.5
6028,-58.0,9107,63407,0.5
6031,-59.5,9107,63407,-1.5
6032,-58.5,9107,63407,1.0
6035,-58.5,9107,63407,0.0
6037,-59.0,9107,63407,-0.5
6038,-58.5,9107,63407,0.5
6040,-58.5,9107,63407,0.0
6043,-59.0,9107,63422,-0.5
6044,-58.5,9107,63422,0.5
6047,-59.0,9107,63422,-0.5
6048,-59.0,9107,63438,0.0
6050,-59.0,9107,63641,0.0
6052,-59.0,9107,63656,0.0
6055,-59.0,9107,63656,0.0
6057,-59.0,9107,63656,0.0
6059,-59.0,9107,63656,0.0
6060,-58.5,9107,63656,0.5
6062,-58.5,9107,63656,0.0
6064,-58.5,9107,63656,0.0
6066,-58.5,9107,63656,0.0
6068,-58.5,9107,63656,0.0
6071,-59.0,9107,63656,-0.5
6072,-58.5,9107,63672,0.5
6074,-58.5,9107,63891,0.0
6077,-59.0,9107,63906,-0.5
6078,-58.5,9107,63906,0.5
6080,-59.0,9107,63906,-0.5
6083,-59.0,9107,63906,0.0
6084,-58.5,9107,63906,0.5
6086,-58.5,9107,63906,0.0
6089,-58.5,9107,63906,0.0
6091,-58.5,9107,63922,0.0
6093,-58.5,9107,63922,0.0
6094,-58.5,9107,63922,0.0
6097,-58.5,9107,63937,0.0
6098,-59.0,9107,63937,-0.5
6100,-58.5,9107,64156,0.5
6102,-59.0,9107,64156,-0.5
6104,-58.5,9107,64156,0.5
6107,-55.0,9107,64156,3.5
6109,-52.5,9107,64156,2.5
6111,-51.5,9107,64156,1.0
6112,-50.5,9107,64172,1.0
6114,-50.5,9107,64172,0.0
6116,-50.0,9107,64172,0.5
6119,-50.5,9107,64172,-0.5
6120,-50.5,9107,64172,0.0
6123,-50.5,9107,64172,0.0
6125,-50.5,9107,64406,0.0
6127,-50.5,9107,64406,0.0
6129,-50.5,9107,64406,0.0
6130,-51.0,9107,64406,-0.5
6132,-51.0,9107,64406,0.0
6135,-51.5,9107,64406,-0.5
6137,-51.5,9107,64422,0.0
6139,-51.5,9107,64422,0.0
6140,-51.5,9107,64422,0.0
6143,-51.5,9107,64422,0.0
6144,-51.5,9107,64422,0.0
6146,-52.0,9107,64422,-0.5
6149,-52.0,9107,64656,0.0
6150,-52.0,9107,64656,0.0
6153,-52.0,9107,64656,0.0
6154,-52.0,9107,64656,0.0
6157,-52.0,9107,64656,0.0
6159,-52.5,9107,64656,-0.5
6160,-52.5,9107,64656,0.0
6163,-53.0,9107,64656,-0.5
6164,-52.5,9107,64656,0.5
6167,-52.5,9107,64656,0.0
6169,-53.0,9107,64672,-0.5
6170,-53.0,9107,64672,0.0
6173,-53.0,9107,64890,0.0
6175,-53.0,9107,64890,0.0
6177,-53.0,9107,64890,0.0
6179,-53.0,9107,64906,0.0
6180,-53.0,9107,64906,0.0
6183,-53.0,9107,64906,0.0
6185,-52.5,9107,64906,0.5
6186,-53.0,9107,64906,-0.5
6188,-53.0,9107,64906,0.0
6191,-53.0,9107,64906,0.0
6192,-53.0,9107,64906,0.0
6194,-52.5,9107,64922,0.5
6196,-53.0,9107,65140,-0.5
6199,-53.0,9107,65140,0.0
6200,-53.0,9107,65140,0.0
6203,-53.0,9107,65140,0.0
6204,-53.0,9107,65140,0.0
6207,-53.0,9107,65140,0.0
6209,-53.0,9107,65140,0.0
6211,-53.0,9107,65140,0.0
6213,-55.0,9107,65156,-2.0
6214,-58.0,9107,65156,-3.0
6217,-58.0,9107,65156,0.0
6219,-58.0,9107,65187,0.0
6220,-58.0,9107,65187,0.0
6223,-58.0,9107,65406,0.0
6224,-58.5,9107,65406,-0.5
6227,-58.5,9107,65406,0.0
6228,-58.0,9107,65406,0.5
6230,-58.5,9107,65406,-0.5
6232,-58.0,9107,65406,0.5
6235,-58.5,9107,65421,-0.5
6236,-58.0,9107,65421,0.5
6239,-58.5,9107,65421,-0.5
6240,-58.5,9107,65421,0.0
6243,-58.5,9107,65421,0.0
6245,-58.5,9107,65421,0.0
6247,-58.0,9107,65656,0.5
6249,-58.5,9107,65656,-0.5
6250,-58.5,9107,65656,0.0
6253,-59.0,9107,65656,-0.5
6254,-58.5,9107,65656,0.5
6256,-58.5,9107,65656,0.0
6258,-58.5,9107,65656,0.0
6261,-59.0,9107,65656,-0.5
6262,-58.5,9107,65656,0.5
