,RSS,Epc,time,diff
7445,-62.0,9107,80165,
7447,-61.5,9107,80167,0.5
7448,-61.5,9107,80168,0.0
7450,-61.5,9107,80172,0.0
7452,-61.5,9107,80175,0.0
7454,-62.0,9107,80178,-0.5
7456,-61.5,9107,80180,0.5
7458,-61.5,9107,80181,0.0
7461,-61.5,9107,80195,0.0
7462,-61.5,9107,80197,0.0
7465,-61.5,9107,80205,0.0
7467,-61.0,9107,80209,0.5
7468,-61.5,9107,80403,-0.5
7471,-62.0,9107,80408,-0.5
7472,-61.5,9107,80410,0.5
7475,-61.5,9107,80412,0.0
7476,-62.0,9107,80413,-0.5
7478,-62.0,9107,80419,0.0
7480,-61.0,9107,80420,1.0
7482,-61.5,9107,80421,-0.5
7485,-62.0,9107,80424,-0.5
7486,-62.0,9107,80427,0.0
7488,-61.5,9107,80432,0.5
7491,-62.0,9107,80448,-0.5
7493,-62.0,9107,80451,0.0
7494,-62.5,9107,80670,-0.5
7496,-61.5,9107,80673,1.0
7499,-61.5,9107,80678,0.0
7500,-61.0,9107,80679,0.5
7502,-62.0,9107,80680,-1.0
7504,-61.5,9107,80681,0.5
7507,-61.5,9107,80682,0.0
7509,-61.0,9107,80684,0.5
7511,-61.0,9107,80686,0.0
7512,-61.5,9107,80689,-0.5
7515,-61.5,9107,80691,0.0
7517,-61.5,9107,80697,0.0
7518,-61.0,9107,80916,0.5
7521,-61.0,9107,80921,0.0
7522,-60.5,9107,80921,0.5
7524,-51.5,9107,80923,9.0
7527,-50.0,9107,80925,1.5
7529,-50.0,9107,80926,0.0
7530,-50.0,9107,80928,0.0
7533,-50.0,9107,80932,0.0
7534,-50.0,9107,80932,0.0
7536,-50.0,9107,80933,0.0
7538,-50.5,9107,80934,-0.5
7540,-50.0,9107,80947,0.5
7542,-50.0,9107,81161,0.0
7544,-50.0,9107,81165,0.0
7546,-50.0,9107,81166,0.0
7549,-50.0,9107,81168,0.0
7551,-50.0,9107,81170,0.0
7552,-50.5,9107,81170,-0.5
7554,-50.5,9107,81174,0.0
7557,-50.0,9107,81176,0.5
7559,-50.5,9107,81177,-0.5
7561,-50.5,9107,81180,0.0
7563,-50.5,9107,81182,0.0
7565,-50.0,9107,81198,0.5
7566,-50.5,9107,81408,-0.5
7569,-50.5,9107,81412,0.0
7570,-50.5,9107,81414,0.0
7572,-50.5,9107,81417,0.0
7574,-50.5,9107,81419,0.0
7577,-50.5,9107,81423,0.0
7578,-50.5,9107,81423,0.0
7580,-50.5,9107,81427,0.0
7583,-50.5,9107,81432,0.0
7584,-51.0,9107,81432,-0.5
7587,-50.5,9107,81434,0.5
7589,-51.0,9107,81448,-0.5
7590,-51.0,9107,81652,0.0
7593,-51.0,9107,81659,0.0
7594,-51.0,9107,81660,0.0
7596,-51.0,9107,81661,0.0
7599,-51.0,9107,81664,0.0
7601,-51.0,9107,81667,0.0
7603,-51.0,9107,81669,0.0
7605,-51.0,9107,81670,0.0
7607,-51.5,9107,81671,-0.5
7608,-51.0,9107,81671,0.5
7610,-51.5,9107,81675,-0.5
7612,-51.0,9107,81696,0.5
7615,-51.5,9107,81701,-0.5
7616,-51.5,9107,81913,0.0
7618,-51.5,9107,81929,0.0
7621,-52.0,9107,81929,-0.5
7622,-52.0,9107,81929,0.0
7625,-52.0,9107,81929,0.0
7626,-52.0,9107,81929,0.0
7628,-52.0,9107,81929,0.0
7630,-52.0,9107,81929,0.0
7632,-52.0,9107,81929,0.0
7634,-52.0,9107,81944,0.0
7636,-52.0,9107,81944,0.0
7638,-52.0,9107,82132,0.0
7640,-51.5,9107,82147,0.5
7642,-52.0,9107,82147,-0.5
7644,-52.0,9107,82147,0.0
7646,-52.0,9107,82147,0.0
7649,-52.0,9107,82147,0.0
7651,-52.0,9107,82163,0.0
7652,-52.0,9107,82163,0.0
7655,-52.0,9107,82163,0.0
7657,-52.0,9107,82163,0.0
7659,-52.0,9107,82163,0.0
7661,-52.0,9107,82194,0.0
7663,-52.0,9107,82194,0.0
7664,-52.5,9107,82397,-0.5
7667,-52.5,9107,82413,0.0
7669,-52.0,9107,82413,0.5
7670,-52.5,9107,82413,-0.5
7672,-52.5,9107,82413,0.0
7674,-52.5,9107,82429,0.0
7676,-52.0,9107,82429,0.5
7678,-52.5,9107,82429,-0.5
7680,-52.5,9107,82429,0.0
7683,-52.5,9107,82429,0.0
7685,-52.5,9107,82429,0.0
7686,-52.5,9107,82444,0.0
7688,-52.5,9107,82647,0.0
7690,-53.0,9107,82663,-0.5
7693,-53.0,9107,82663,0.0
7694,-53.0,9107,82663,0.0
7696,-53.0,9107,82663,0.0
7699,-53.0,9107,82663,0.0
7700,-53.0,9107,82663,0.0
7703,-53.0,9107,82679,0.0
7705,-53.0,9107,82679,0.0
7707,-53.0,9107,82679,0.0
7709,-53.5,9107,82679,-0.5
7710,-53.5,9107,82694,0.0
7712,-54.0,9107,82900,-0.5
7714,-54.0,9107,82900,0.0
7717,-54.0,9107,82900,0.0
7718,-54.0,9107,82900,0.0
7720,-54.5,9107,82900,-0.5
7723,-54.5,9107,82915,0.0
7725,-54.5,9107,82915,0.0
7726,-54.5,9107,82915,0.0
7729,-55.0,9107,82915,-0.5
7731,-54.5,9107,82915,0.5
7732,-54.5,9107,82915,0.0
7734,-55.0,9107,82947,-0.5
7736,-55.0,9107,82947,0.0
7738,-55.5,9107,83165,-0.5
7740,-55.5,9107,83165,0.0
7743,-55.5,9107,83165,0.0
7745,-56.0,9107,83181,-0.5
7746,-56.5,9107,83181,-0.5
7748,-57.0,9107,83181,-0.5
7750,-57.0,9107,83181,0.0
7752,-57.5,9107,83181,-0.5
7754,-58.5,9107,83181,-1.0
7757,-60.0,9107,83181,-1.5
7759,-60.5,9107,83181,-0.5
7761,-61.0,9107,83197,-0.5
7763,-61.5,9107,83415,-0.5
7764,-62.0,9107,83415,-0.5
7766,-62.5,9107,83415,-0.5
7768,-63.5,9107,83415,-1.0
7770,-64.5,9107,83415,-1.0
7773,-64.5,9107,83415,0.0
7774,-63.5,9107,83415,1.0
7777,-63.5,9107,83415,0.0
7778,-64.5,9107,83415,-1.0
7780,-63.0,9107,83415,1.5
7782,-63.0,9107,83415,0.0
7785,-62.0,9107,83447,1.0
7786,-61.5,9107,83650,0.5
7788,-61.0,9107,83650,0.5
7791,-60.5,9107,83650,0.5
7793,-60.0,9107,83650,0.5
7794,-60.5,9107,83650,-0.5
7796,-60.5,9107,83650,0.0
7799,-60.5,9107,83650,0.0
7800,-61.0,9107,83650,-0.5
7802,-61.5,9107,83650,-0.5
7804,-61.0,9107,83650,0.5
7806,-61.5,9107,83650,-0.5
7809,-62.0,9107,83696,-0.5
7810,-62.0,9107,83900,0.0
7812,-62.0,9107,83900,0.0
7814,-62.5,9107,83900,-0.5
7817,-61.5,9107,83900,1.0
