,RSS,Epc,time,diff
0,-57.0,9107,0,
3,-57.0,9107,4,0.0
5,-57.0,9107,8,0.0
6,-57.0,9107,10,0.0
8,-56.5,9107,11,0.5
11,-57.5,9107,13,-1.0
12,-57.0,9107,14,0.5
15,-57.0,9107,15,0.0
17,-57.0,9107,19,0.0
18,-57.5,9107,21,-0.5
20,-57.0,9107,22,0.5
23,-57.0,9107,201,0.0
24,-57.5,9107,203,-0.5
26,-57.0,9107,205,0.5
29,-57.0,9107,207,0.0
30,-57.0,9107,208,0.0
32,-57.0,9107,211,0.0
34,-57.0,9107,213,0.0
36,-57.0,9107,215,0.0
39,-57.0,9107,217,0.0
40,-57.0,9107,217,0.0
42,-57.5,9107,218,-0.5
44,-57.0,9107,226,0.5
46,-57.0,9107,444,0.0
48,-57.5,9107,447,-0.5
50,-57.0,9107,453,0.5
53,-57.0,9107,457,0.0
55,-56.5,9107,460,0.5
56,-57.5,9107,461,-1.0
58,-57.0,9107,462,0.5
60,-57.0,9107,463,0.0
63,-57.0,9107,465,0.0
65,-57.0,9107,470,0.0
66,-57.0,9107,470,0.0
68,-57.0,9107,477,0.0
70,-57.0,9107,690,0.0
72,-57.0,9107,694,0.0
75,-56.5,9107,696,0.5
76,-57.0,9107,696,-0.5
78,-56.5,9107,697,0.5
81,-56.5,9107,701,0.0
83,-57.0,9107,704,-0.5
84,-56.5,9107,704,0.5
86,-57.0,9107,706,-0.5
88,-57.0,9107,707,0.0
90,-56.5,9107,708,0.5
93,-56.5,9107,737,0.0
95,-56.0,9107,740,0.5
96,-56.5,9107,966,-0.5
98,-56.5,9107,970,0.0
101,-56.5,9107,973,0.0
103,-57.0,9107,974,-0.5
105,-57.5,9107,976,-0.5
106,-57.5,9107,978,0.0
108,-57.5,9107,981,0.0
110,-58.0,9107,982,-0.5
113,-58.0,9107,985,0.0
114,-57.5,9107,985,0.5
116,-57.5,9107,990,0.0
119,-58.0,9107,1193,-0.5
120,-58.0,9107,1194,0.0
122,-57.5,9107,1197,0.5
125,-57.5,9107,1200,0.0
127,-57.5,9107,1201,0.0
128,-58.0,9107,1202,-0.5
130,-57.5,9107,1207,0.5
133,-57.0,9107,1209,0.5
135,-56.5,9107,1211,0.5
136,-57.0,9107,1212,-0.5
139,-57.0,9107,1217,0.0
140,-56.5,9107,1225,0.5
142,-56.5,9107,1436,0.0
144,-56.5,9107,1440,0.0
146,-56.5,9107,1441,0.0
148,-56.5,9107,1442,0.0
151,-56.0,9107,1445,0.5
153,-56.0,9107,1446,0.0
154,-56.5,9107,1449,-0.5
157,-56.5,9107,1452,0.0
159,-56.5,9107,1453,0.0
161,-56.0,9107,1454,0.5
162,-56.5,9107,1456,-0.5
164,-56.5,9107,1476,0.0
166,-56.5,9107,1682,0.0
168,-56.5,9107,1684,0.0
171,-56.5,9107,1688,0.0
173,-56.5,9107,1689,0.0
174,-56.5,9107,1690,0.0
177,-56.5,9107,1692,0.0
178,-56.5,9107,1694,0.0
181,-56.5,9107,1698,0.0
183,-57.0,9107,1699,-0.5
185,-57.0,9107,1700,0.0
187,-56.5,9107,1701,0.5
189,-56.5,9107,1727,0.0
191,-56.5,9107,1731,0.0
192,-56.5,9107,1947,0.0
195,-56.5,9107,1952,0.0
197,-56.5,9107,1953,0.0
199,-56.0,9107,1954,0.5
200,-56.5,9107,1955,-0.5
203,-56.5,9107,1959,0.0
204,-56.0,9107,1959,0.5
206,-56.5,9107,1962,-0.5
209,-56.5,9107,1964,0.0
211,-56.5,9107,1965,0.0
212,-56.5,9107,1966,0.0
214,-56.5,9107,1975,0.0
217,-56.5,9107,2204,0.0
218,-56.5,9107,2207,0.0
221,-56.5,9107,2209,0.0
223,-56.5,9107,2210,0.0
225,-56.5,9107,2211,0.0
226,-56.0,9107,2211,0.5
228,-56.5,9107,2215,-0.5
231,-56.5,9107,2218,0.0
232,-56.5,9107,2219,0.0
235,-56.5,9107,2221,0.0
237,-56.5,9107,2222,0.0
238,-56.5,9107,2226,0.0
241,-56.5,9107,2452,0.0
243,-56.0,9107,2457,0.5
244,-56.5,9107,2458,-0.5
247,-56.5,9107,2460,0.0
249,-56.5,9107,2466,0.0
251,-56.5,9107,2469,0.0
252,-57.0,9107,2469,-0.5
255,-56.5,9107,2472,0.5
257,-57.0,9107,2473,-0.5
258,-56.5,9107,2474,0.5
260,-57.0,9107,2475,-0.5
262,-56.5,9107,2480,0.5
264,-56.5,9107,2695,0.0
266,-56.5,9107,2698,0.0
268,-57.0,9107,2700,-0.5
271,-56.5,9107,2701,0.5
272,-56.5,9107,2702,0.0
275,-56.5,9107,2704,0.0
276,-56.5,9107,2707,0.0
279,-56.5,9107,2711,0.0
280,-56.5,9107,2711,0.0
283,-56.0,9107,2713,0.5
284,-56.5,9107,2714,-0.5
286,-56.5,9107,2725,0.0
289,-56.5,9107,2942,0.0
291,-56.5,9107,2945,0.0
292,-56.5,9107,2945,0.0
