,RSS,Epc,time,diff
9545,-56.0,9107,100178,
9548,-56.0,9107,100178,0.0
9549,-56.0,9107,100178,0.0
9551,-56.0,9107,100178,0.0
9553,-56.0,9107,100178,0.0
9555,-55.5,9107,100178,0.5
9558,-56.0,9107,100178,-0.5
9560,-56.0,9107,100178,0.0
9562,-56.0,9107,100178,0.0
9564,-56.0,9107,100178,0.0
9565,-56.0,9107,100178,0.0
9567,-56.0,9107,100209,0.0
9570,-56.0,9107,100428,0.0
9571,-56.0,9107,100428,0.0
9574,-56.0,9107,100428,0.0
9575,-56.0,9107,100428,0.0
9577,-56.0,9107,100428,0.0
9580,-56.0,9107,100428,0.0
9581,-56.0,9107,100428,0.0
9584,-56.0,9107,100428,0.0
9586,-56.0,9107,100428,0.0
9587,-55.5,9107,100428,0.5
9589,-55.5,9107,100428,0.0
9592,-56.0,9107,100459,-0.5
9593,-56.0,9107,100662,0.0
9595,-56.0,9107,100662,0.0
9597,-56.0,9107,100662,0.0
9599,-56.0,9107,100662,0.0
9602,-55.5,9107,100662,0.5
9603,-56.0,9107,100662,-0.5
9606,-55.5,9107,100662,0.5
9608,-56.0,9107,100662,-0.5
9609,-56.0,9107,100662,0.0
9612,-56.0,9107,100662,0.0
9613,-56.0,9107,100662,0.0
9616,-56.0,9107,100725,0.0
9618,-56.5,9107,100725,-0.5
9619,-56.0,9107,100928,0.5
9621,-56.0,9107,100928,0.0
9623,-56.0,9107,100928,0.0
9626,-56.0,9107,100928,0.0
9628,-55.5,9107,100928,0.5
9629,-56.0,9107,100928,-0.5
9632,-56.0,9107,100943,0.0
9633,-56.0,9107,100943,0.0
9635,-56.0,9107,100943,0.0
9638,-56.0,9107,100943,0.0
9640,-56.0,9107,100943,0.0
9641,-56.0,9107,100959,0.0
9643,-55.5,9107,101178,0.5
9646,-56.0,9107,101178,-0.5
9648,-56.0,9107,101178,0.0
9650,-56.0,9107,101178,0.0
9651,-56.0,9107,101178,0.0
9653,-56.0,9107,101178,0.0
9656,-56.0,9107,101178,0.0
9658,-56.0,9107,101178,0.0
9660,-56.0,9107,101178,0.0
9661,-56.0,9107,101178,0.0
9664,-56.0,9107,101178,0.0
9665,-56.0,9107,101209,0.0
9667,-56.0,9107,101417,0.0
9670,-56.0,9107,101417,0.0
9671,-56.0,9107,101417,0.0
9674,-55.5,9107,101417,0.5
9676,-55.5,9107,101417,0.0
9677,-55.5,9107,101417,0.0
9680,-56.0,9107,101417,-0.5
9682,-55.5,9107,101417,0.5
9684,-56.0,9107,101417,-0.5
9685,-56.0,9107,101417,0.0
9687,-56.0,9107,101417,0.0
9690,-55.5,9107,101463,0.5
9691,-56.0,9107,101666,-0.5
9693,-55.5,9107,101666,0.5
9695,-56.0,9107,101666,-0.5
9697,-56.0,9107,101666,0.0
9699,-56.0,9107,101666,0.0
9701,-55.5,9107,101666,0.5
9703,-56.0,9107,101666,-0.5
9705,-55.5,9107,101666,0.5
9707,-55.5,9107,101666,0.0
9710,-55.5,9107,101666,0.0
9711,-55.5,9107,101666,0.0
9713,-55.5,9107,101713,0.0
9716,-56.0,9107,101713,-0.5
9717,-55.0,9107,101932,1.0
9720,-55.0,9107,101932,0.0
9721,-53.5,9107,101932,1.5
9723,-52.0,9107,101932,1.5
9725,-51.0,9107,101932,1.0
9728,-51.0,9107,101932,0.0
9730,-50.5,9107,101932,0.5
9731,-51.0,9107,101932,-0.5
9734,-50.5,9107,101932,0.5
9735,-50.5,9107,101932,0.0
9738,-50.5,9107,101932,0.0
9739,-51.0,9107,102151,-0.5
9741,-50.5,9107,102151,0.5
9744,-51.0,9107,102151,-0.5
9745,-50.5,9107,102151,0.5
9747,-50.5,9107,102151,0.0
9750,-50.5,9107,102151,0.0
9751,-51.0,9107,102151,-0.5
9753,-50.5,9107,102151,0.5
9755,-51.0,9107,102151,-0.5
9757,-50.5,9107,102151,0.5
9760,-51.0,9107,102166,-0.5
9762,-52.0,9107,102213,-1.0
9764,-51.0,9107,102213,1.0
9765,-51.0,9107,102432,0.0
9767,-50.5,9107,102432,0.5
9769,-51.0,9107,102432,-0.5
9772,-51.0,9107,102432,0.0
9774,-51.0,9107,102432,0.0
9776,-51.0,9107,102432,0.0
9778,-51.0,9107,102432,0.0
9779,-51.5,9107,102432,-0.5
9781,-51.5,9107,102432,0.0
9784,-51.0,9107,102432,0.5
9785,-51.5,9107,102432,-0.5
9788,-51.5,9107,102463,0.0
9790,-51.5,9107,102681,0.0
9791,-51.5,9107,102681,0.0
9794,-51.5,9107,102681,0.0
9796,-51.5,9107,102681,0.0
9797,-51.5,9107,102681,0.0
9799,-51.5,9107,102681,0.0
9802,-51.5,9107,102681,0.0
9803,-51.0,9107,102681,0.5
9806,-51.5,9107,102681,-0.5
9807,-51.5,9107,102681,0.0
9810,-51.5,9107,102681,0.0
9812,-51.5,9107,102713,0.0
9813,-51.5,9107,102916,0.0
9816,-51.0,9107,102916,0.5
9817,-51.0,9107,102916,0.0
9819,-51.0,9107,102916,0.0
9822,-51.0,9107,102916,0.0
9823,-51.0,9107,102916,0.0
9825,-51.0,9107,102916,0.0
9827,-51.0,9107,102916,0.0
9829,-50.5,9107,102916,0.5
9831,-51.0,9107,102916,-0.5
9834,-51.0,9107,102916,0.0
9836,-51.0,9107,102963,0.0
9837,-51.0,9107,102963,0.0
9840,-50.5,9107,103181,0.5
9842,-50.5,9107,103181,0.0
9843,-50.5,9107,103181,0.0
9846,-50.5,9107,103181,0.0
9847,-50.5,9107,103181,0.0
9850,-50.5,9107,103181,0.0
9851,-50.5,9107,103181,0.0
9854,-50.5,9107,103181,0.0
9855,-50.5,9107,103181,0.0
9858,-50.5,9107,103181,0.0
9860,-50.5,9107,103181,0.0
9861,-50.5,9107,103213,0.0
9864,-50.5,9107,103431,0.0
9865,-50.5,9107,103431,0.0
9867,-50.5,9107,103431,0.0
9870,-50.5,9107,103431,0.0
9871,-50.0,9107,103431,0.5
9873,-50.0,9107,103431,0.0
9876,-50.0,9107,103431,0.0
9878,-50.0,9107,103431,0.0
9880,-50.5,9107,103431,-0.5
9882,-50.0,9107,103431,0.5
9884,-50.0,9107,103431,0.0
9886,-50.0,9107,103463,0.0
9888,-50.0,9107,103681,0.0
9890,-49.5,9107,103681,0.5
9891,-49.5,9107,103681,0.0
9894,-49.5,9107,103681,0.0
9895,-49.5,9107,103681,0.0
9897,-50.5,9107,103681,-1.0
9899,-49.0,9107,103681,1.5
9901,-49.0,9107,103681,0.0
9904,-49.5,9107,103681,-0.5
9906,-49.0,9107,103681,0.5
9908,-49.0,9107,103681,0.0
9910,-49.0,9107,103713,0.0
9912,-49.5,9107,103932,-0.5
9913,-49.5,9107,103932,0.0
9915,-49.0,9107,103932,0.5
9917,-49.5,9107,103932,-0.5
9919,-49.0,9107,103932,0.5
9922,-49.0,9107,103932,0.0
9924,-49.0,9107,103932,0.0
9926,-49.0,9107,103932,0.0
9927,-48.5,9107,103932,0.5
9929,-52.0,9107,103932,-3.5
9932,-55.5,9107,103932,-3.5
9933,-56.0,9107,103962,-0.5
9935,-55.5,9107,104181,0.5
9937,-56.0,9107,104181,-0.5
9939,-56.0,9107,104181,0.0
9941,-56.0,9107,104181,0.0
9943,-56.0,9107,104181,0.0
9946,-56.5,9107,104181,-0.5
9947,-56.0,9107,104181,0.5
9950,-56.0,9107,104181,0.0
9952,-56.0,9107,104181,0.0
9954,-56.0,9107,104181,0.0
9955,-55.5,9107,104181,0.5
9958,-56.0,9107,104212,-0.5
9960,-56.0,9107,104415,0.0
9962,-56.0,9107,104415,0.0
9963,-55.5,9107,104415,0.5
9966,-56.0,9107,104415,-0.5
9967,-56.0,9107,104415,0.0
9970,-56.0,9107,104415,0.0
9971,-55.5,9107,104415,0.5
9974,-55.5,9107,104415,0.0
9975,-56.0,9107,104415,-0.5
9977,-56.0,9107,104415,0.0
9979,-56.0,9107,104415,0.0
9982,-56.0,9107,104447,0.0
9983,-56.0,9107,104665,0.0
9986,-55.5,9107,104665,0.5
9987,-56.0,9107,104665,-0.5
9990,-56.0,9107,104665,0.0
9992,-56.0,9107,104665,0.0
9993,-55.5,9107,104665,0.5
9995,-55.5,9107,104665,0.0
9998,-55.5,9107,104665,0.0
9999,-56.0,9107,104665,-0.5
10001,-55.5,9107,104665,0.5
10004,-56.0,9107,104665,-0.5
10005,-56.0,9107,104713,0.0
10008,-55.5,9107,104713,0.5
10009,-56.0,9107,104931,-0.5
10011,-56.0,9107,104931,0.0
10013,-55.5,9107,104931,0.5
10015,-56.0,9107,104931,-0.5
10018,-56.0,9107,104931,0.0
10020,-55.5,9107,104931,0.5
10022,-55.5,9107,104931,0.0
10023,-56.0,9107,104931,-0.5
10025,-55.5,9107,104931,0.5
10027,-56.0,9107,104931,-0.5
10030,-55.5,9107,104931,0.5
10031,-56.0,9107,104962,-0.5
9546,-59.5,9108,100178,
9547,-60.0,9108,100178,-0.5
9550,-59.5,9108,100178,0.5
9552,-60.0,9108,100178,-0.5
9554,-60.0,9108,100178,0.0
9556,-59.5,9108,100178,0.5
9557,-60.0,9108,100178,-0.5
9559,-59.5,9108,100178,0.5
9561,-60.0,9108,100178,-0.5
9563,-59.5,9108,100178,0.5
9566,-60.0,9108,100178,-0.5
9568,-60.0,9108,100209,0.0
9569,-60.0,9108,100428,0.0
9572,-60.0,9108,100428,0.0
9573,-60.5,9108,100428,-0.5
9576,-59.5,9108,100428,1.0
9578,-59.5,9108,100428,0.0
9579,-60.0,9108,100428,-0.5
9582,-60.0,9108,100428,0.0
9583,-60.0,9108,100428,0.0
9585,-59.5,9108,100428,0.5
9588,-60.5,9108,100428,-1.0
9590,-60.0,9108,100428,0.5
9591,-60.0,9108,100459,0.0
9594,-60.5,9108,100662,-0.5
9596,-59.5,9108,100662,1.0
9598,-59.5,9108,100662,0.0
9600,-60.0,9108,100662,-0.5
9601,-60.0,9108,100662,0.0
9604,-59.5,9108,100662,0.5
9605,-60.5,9108,100662,-1.0
9607,-59.5,9108,100662,1.0
9610,-60.0,9108,100662,-0.5
9611,-59.5,9108,100662,0.5
9614,-60.0,9108,100662,-0.5
9615,-60.0,9108,100725,0.0
9617,-59.5,9108,100725,0.5
9620,-59.5,9108,100928,0.0
9622,-59.5,9108,100928,0.0
9624,-59.5,9108,100928,0.0
9625,-60.0,9108,100928,-0.5
9627,-60.0,9108,100928,0.0
9630,-59.5,9108,100928,0.5
9631,-60.0,9108,100928,-0.5
9634,-59.5,9108,100943,0.5
9636,-59.5,9108,100943,0.0
9637,-60.0,9108,100943,-0.5
9639,-60.0,9108,100943,0.0
9642,-60.5,9108,100959,-0.5
9644,-60.0,9108,101178,0.5
9645,-60.5,9108,101178,-0.5
9647,-60.5,9108,101178,0.0
9649,-60.0,9108,101178,0.5
9652,-60.0,9108,101178,0.0
9654,-60.0,9108,101178,0.0
9655,-60.0,9108,101178,0.0
9657,-59.5,9108,101178,0.5
9659,-59.5,9108,101178,0.0
9662,-60.0,9108,101178,-0.5
9663,-60.5,9108,101178,-0.5
9666,-60.0,9108,101209,0.5
9668,-59.5,9108,101417,0.5
9669,-60.5,9108,101417,-1.0
9672,-60.5,9108,101417,0.0
9673,-60.0,9108,101417,0.5
9675,-60.0,9108,101417,0.0
9678,-60.5,9108,101417,-0.5
9679,-60.5,9108,101417,0.0
9681,-60.0,9108,101417,0.5
9683,-60.0,9108,101417,0.0
9686,-60.0,9108,101417,0.0
9688,-60.5,9108,101417,-0.5
9689,-60.0,9108,101463,0.5
9692,-60.0,9108,101666,0.0
9694,-60.5,9108,101666,-0.5
9696,-60.5,9108,101666,0.0
9698,-60.5,9108,101666,0.0
9700,-60.5,9108,101666,0.0
9702,-60.5,9108,101666,0.0
9704,-60.5,9108,101666,0.0
9706,-60.5,9108,101666,0.0
9708,-60.0,9108,101666,0.5
9709,-60.5,9108,101666,-0.5
9712,-60.0,9108,101682,0.5
9714,-60.5,9108,101713,-0.5
9715,-61.5,9108,101713,-1.0
9718,-61.0,9108,101932,0.5
9719,-59.5,9108,101932,1.5
9722,-56.0,9108,101932,3.5
9724,-52.5,9108,101932,3.5
9726,-50.5,9108,101932,2.0
9727,-50.5,9108,101932,0.0
9729,-50.0,9108,101932,0.5
9732,-49.5,9108,101932,0.5
9733,-50.0,9108,101932,-0.5
9736,-50.0,9108,101932,0.0
9737,-50.0,9108,101932,0.0
9740,-50.0,9108,102151,0.0
9742,-50.0,9108,102151,0.0
9743,-50.0,9108,102151,0.0
9746,-50.0,9108,102151,0.0
9748,-50.0,9108,102151,0.0
9749,-50.0,9108,102151,0.0
9752,-50.0,9108,102151,0.0
9754,-50.0,9108,102151,0.0
9756,-50.0,9108,102151,0.0
9758,-50.0,9108,102151,0.0
9759,-50.5,9108,102166,-0.5
9761,-51.5,9108,102213,-1.0
9763,-50.5,9108,102213,1.0
9766,-50.5,9108,102432,0.0
9768,-51.0,9108,102432,-0.5
9770,-51.0,9108,102432,0.0
9771,-51.0,9108,102432,0.0
9773,-51.0,9108,102432,0.0
9775,-51.0,9108,102432,0.0
9777,-51.5,9108,102432,-0.5
9780,-51.5,9108,102432,0.0
9782,-51.5,9108,102432,0.0
9783,-51.5,9108,102432,0.0
9786,-51.5,9108,102432,0.0
9787,-52.0,9108,102463,-0.5
9789,-52.0,9108,102666,0.0
9792,-52.0,9108,102681,0.0
9793,-52.0,9108,102681,0.0
9795,-52.0,9108,102681,0.0
9798,-52.0,9108,102681,0.0
9800,-52.5,9108,102681,-0.5
9801,-52.5,9108,102681,0.0
9804,-52.5,9108,102681,0.0
9805,-52.5,9108,102681,0.0
9808,-52.5,9108,102681,0.0
