,RSS,Epc,time,diff
9841,-59.0,9107.0,105149,
9843,-59.5,9107.0,105149,-0.5
9845,-59.5,9107.0,105149,0.0
9846,-59.5,9107.0,105149,0.0
9849,-58.5,9107.0,105149,1.0
9850,-58.5,9107.0,105149,0.0
9853,-58.5,9107.0,105149,0.0
9855,-58.5,9107.0,105149,0.0
9856,-58.0,9107.0,105149,0.5
9859,-58.5,9107.0,105149,-0.5
9860,-58.5,9107.0,105149,0.0
9863,-59.0,9107.0,105195,-0.5
9864,-58.5,9107.0,105195,0.5
9866,-58.0,9107.0,105414,0.5
9868,-58.5,9107.0,105414,-0.5
9871,-58.0,9107.0,105414,0.5
9873,-58.0,9107.0,105414,0.0
9874,-58.0,9107.0,105414,0.0
9876,-58.0,9107.0,105414,0.0
9878,-58.5,9107.0,105414,-0.5
9880,-58.0,9107.0,105414,0.5
9883,-58.5,9107.0,105414,-0.5
9885,-58.0,9107.0,105414,0.5
9887,-58.0,9107.0,105414,0.0
9888,-58.0,9107.0,105445,0.0
9890,-58.0,9107.0,105664,0.0
9892,-58.0,9107.0,105664,0.0
9895,-58.0,9107.0,105664,0.0
9896,-58.0,9107.0,105664,0.0
9898,-57.5,9107.0,105664,0.5
9901,-57.5,9107.0,105664,0.0
9902,-57.5,9107.0,105664,0.0
9905,-57.5,9107.0,105664,0.0
9906,-58.0,9107.0,105664,-0.5
9908,-58.0,9107.0,105664,0.0
9910,-58.0,9107.0,105664,0.0
9912,-58.0,9107.0,105695,0.0
9915,-57.5,9107.0,105901,0.5
9917,-58.0,9107.0,105901,-0.5
9918,-58.5,9107.0,105901,-0.5
9920,-58.0,9107.0,105901,0.5
9922,-58.0,9107.0,105901,0.0
9925,-58.0,9107.0,105901,0.0
9926,-58.0,9107.0,105901,0.0
9928,-58.5,9107.0,105901,-0.5
9931,-58.0,9107.0,105901,0.5
9932,-58.0,9107.0,105901,0.0
9935,-58.0,9107.0,105901,0.0
9936,-58.0,9107.0,105933,0.0
9939,-58.0,9107.0,106152,0.0
9940,-58.0,9107.0,106152,0.0
9943,-58.0,9107.0,106152,0.0
9945,-58.5,9107.0,106152,-0.5
9946,-58.0,9107.0,106152,0.5
9949,-58.0,9107.0,106152,0.0
9950,-58.0,9107.0,106152,0.0
9952,-58.0,9107.0,106152,0.0
9955,-58.0,9107.0,106152,0.0
9956,-58.0,9107.0,106152,0.0
9958,-58.0,9107.0,106152,0.0
9961,-58.0,9107.0,106183,0.0
9963,-58.0,9107.0,106401,0.0
9965,-57.5,9107.0,106401,0.5
9967,-57.5,9107.0,106401,0.0
9969,-57.5,9107.0,106401,0.0
9970,-58.0,9107.0,106401,-0.5
9972,-57.5,9107.0,106401,0.5
9975,-58.0,9107.0,106401,-0.5
9976,-58.0,9107.0,106401,0.0
9979,-58.5,9107.0,106401,-0.5
9981,-57.5,9107.0,106401,1.0
9983,-57.5,9107.0,106401,0.0
9985,-58.0,9107.0,106448,-0.5
9986,-58.5,9107.0,106448,-0.5
