,RSS,Epc,time,diff
1772,-56.5,9107.0,18190,
1775,-56.5,9107.0,18206,0.0
1776,-56.5,9107.0,18206,0.0
1778,-56.5,9107.0,18206,0.0
1781,-56.5,9107.0,18206,0.0
1782,-56.5,9107.0,18206,0.0
1784,-57.0,9107.0,18206,-0.5
1787,-56.5,9107.0,18206,0.5
1789,-56.5,9107.0,18206,0.0
1790,-56.5,9107.0,18206,0.0
1792,-56.5,9107.0,18206,0.0
1794,-56.5,9107.0,18221,0.0
1796,-56.5,9107.0,18440,0.0
1798,-56.5,9107.0,18440,0.0
1801,-56.5,9107.0,18440,0.0
1802,-56.5,9107.0,18440,0.0
1805,-56.5,9107.0,18456,0.0
1806,-56.5,9107.0,18456,0.0
1809,-56.5,9107.0,18456,0.0
1810,-56.5,9107.0,18456,0.0
1812,-56.5,9107.0,18456,0.0
1814,-57.0,9107.0,18456,-0.5
1817,-56.5,9107.0,18456,0.5
1819,-56.5,9107.0,18471,0.0
1820,-56.5,9107.0,18690,0.0
1823,-57.0,9107.0,18690,-0.5
1824,-56.5,9107.0,18690,0.5
1827,-56.5,9107.0,18690,0.0
1829,-56.5,9107.0,18690,0.0
1830,-56.0,9107.0,18690,0.5
1832,-56.5,9107.0,18690,-0.5
1835,-56.5,9107.0,18705,0.0
1837,-56.5,9107.0,18705,0.0
1839,-56.5,9107.0,18705,0.0
1840,-56.5,9107.0,18705,0.0
1842,-56.5,9107.0,18721,0.0
1844,-56.5,9107.0,18926,0.0
1846,-56.5,9107.0,18942,0.0
1849,-56.5,9107.0,18942,0.0
1850,-56.5,9107.0,18942,0.0
1853,-56.5,9107.0,18942,0.0
1854,-56.5,9107.0,18942,0.0
1857,-56.5,9107.0,18942,0.0
1859,-57.0,9107.0,18942,-0.5
1860,-56.5,9107.0,18942,0.5
1862,-56.5,9107.0,18942,0.0
1865,-56.0,9107.0,18957,0.5
1867,-56.5,9107.0,18973,-0.5
1868,-56.5,9107.0,19176,0.0
1871,-56.5,9107.0,19176,0.0
1873,-56.5,9107.0,19192,0.0
1875,-56.5,9107.0,19192,0.0
1877,-56.5,9107.0,19192,0.0
1879,-56.5,9107.0,19192,0.0
1880,-56.5,9107.0,19192,0.0
1883,-56.5,9107.0,19192,0.0
1884,-56.5,9107.0,19192,0.0
1886,-56.5,9107.0,19192,0.0
1888,-56.5,9107.0,19192,0.0
1890,-56.5,9107.0,19224,0.0
1892,-57.5,9107.0,19442,-1.0
1894,-56.5,9107.0,19442,1.0
1897,-56.5,9107.0,19442,0.0
1899,-56.5,9107.0,19442,0.0
1900,-56.5,9107.0,19442,0.0
1903,-56.0,9107.0,19442,0.5
1904,-56.0,9107.0,19442,0.0
1907,-56.0,9107.0,19442,0.0
1909,-56.5,9107.0,19457,-0.5
1910,-56.0,9107.0,19457,0.5
1913,-56.0,9107.0,19457,0.0
1914,-56.5,9107.0,19473,-0.5
1916,-56.0,9107.0,19677,0.5
1918,-56.5,9107.0,19677,-0.5
1921,-56.0,9107.0,19692,0.5
1923,-56.0,9107.0,19692,0.0
1924,-55.5,9107.0,19692,0.5
1926,-56.5,9107.0,19692,-1.0
1928,-56.0,9107.0,19692,0.5
1930,-56.0,9107.0,19692,0.0
1933,-55.5,9107.0,19692,0.5
