,RSS,Epc,time,diff
1576,-55.5,9107,16158,
1578,-55.5,9107,16158,0.0
1579,-55.5,9107,16174,0.0
1582,-55.0,9107,16174,0.5
1583,-55.5,9107,16174,-0.5
1586,-55.0,9107,16174,0.5
1588,-55.5,9107,16174,-0.5
1590,-55.5,9107,16174,0.0
1592,-55.0,9107,16174,0.5
1594,-55.5,9107,16174,-0.5
1595,-55.0,9107,16174,0.5
1597,-55.5,9107,16189,-0.5
1599,-55.5,9107,16408,0.0
1602,-55.5,9107,16408,0.0
1603,-55.5,9107,16408,0.0
1605,-55.5,9107,16408,0.0
1607,-55.5,9107,16424,0.0
1610,-55.5,9107,16424,0.0
1612,-55.5,9107,16424,0.0
1613,-55.5,9107,16424,0.0
1616,-55.5,9107,16424,0.0
1617,-55.5,9107,16424,0.0
1620,-55.5,9107,16439,0.0
1622,-55.5,9107,16439,0.0
1623,-55.5,9107,16658,0.0
1625,-55.5,9107,16658,0.0
1628,-55.5,9107,16658,0.0
1629,-55.5,9107,16658,0.0
1631,-55.0,9107,16658,0.5
1634,-55.5,9107,16658,-0.5
1636,-55.5,9107,16658,0.0
1638,-55.5,9107,16658,0.0
1640,-55.5,9107,16658,0.0
1641,-55.5,9107,16658,0.0
1643,-55.5,9107,16674,0.0
1646,-55.5,9107,16689,0.0
1648,-55.5,9107,16689,0.0
1650,-55.5,9107,16924,0.0
1651,-55.5,9107,16924,0.0
1653,-55.5,9107,16924,0.0
1656,-55.5,9107,16924,0.0
1658,-55.5,9107,16924,0.0
1659,-55.5,9107,16924,0.0
1661,-55.5,9107,16924,0.0
1664,-56.0,9107,16924,-0.5
1666,-55.5,9107,16939,0.5
1667,-55.5,9107,16939,0.0
1669,-55.5,9107,16939,0.0
1672,-55.5,9107,16939,0.0
1673,-55.5,9107,17173,0.0
1675,-55.5,9107,17173,0.0
1677,-55.5,9107,17173,0.0
1680,-55.5,9107,17173,0.0
1682,-55.5,9107,17173,0.0
1683,-55.5,9107,17173,0.0
1685,-55.5,9107,17189,0.0
1687,-55.5,9107,17189,0.0
1689,-57.0,9107,17189,-1.5
1692,-55.5,9107,17189,1.5
1694,-55.5,9107,17189,0.0
1696,-55.5,9107,17189,0.0
1698,-55.0,9107,17423,0.5
1700,-55.5,9107,17423,-0.5
1702,-55.5,9107,17423,0.0
1703,-55.0,9107,17423,0.5
1705,-55.5,9107,17423,-0.5
1707,-55.5,9107,17423,0.0
1710,-55.5,9107,17439,0.0
1711,-56.0,9107,17439,-0.5
1713,-55.5,9107,17439,0.5
1716,-55.5,9107,17439,0.0
1718,-56.0,9107,17439,-0.5
1719,-55.5,9107,17439,0.5
1721,-55.5,9107,17658,0.0
1724,-55.5,9107,17673,0.0
1725,-55.5,9107,17673,0.0
1728,-55.0,9107,17673,0.5
1729,-55.5,9107,17673,-0.5
1731,-56.0,9107,17673,-0.5
1734,-55.5,9107,17673,0.5
1735,-55.5,9107,17673,0.0
1738,-56.0,9107,17673,-0.5
1739,-55.5,9107,17673,0.5
1742,-55.5,9107,17689,0.0
1743,-56.0,9107,17705,-0.5
1746,-55.5,9107,17923,0.5
1748,-55.5,9107,17923,0.0
1750,-55.0,9107,17923,0.5
1752,-55.5,9107,17923,-0.5
1754,-55.5,9107,17923,0.0
1755,-55.5,9107,17923,0.0
1758,-55.5,9107,17923,0.0
1759,-56.0,9107,17923,-0.5
1761,-56.5,9107,17939,-0.5
1763,-55.5,9107,17939,1.0
1766,-55.5,9107,17939,0.0
1768,-56.0,9107,17939,-0.5
1770,-55.0,9107,18173,1.0
1771,-55.5,9107,18173,-0.5
1774,-55.5,9107,18173,0.0
1775,-55.5,9107,18173,0.0
1778,-55.5,9107,18173,0.0
1780,-55.5,9107,18173,0.0
1782,-55.5,9107,18173,0.0
1783,-55.5,9107,18173,0.0
1786,-55.5,9107,18173,0.0
1787,-55.5,9107,18173,0.0
1790,-55.5,9107,18189,0.0
1792,-55.5,9107,18189,0.0
1794,-55.5,9107,18410,0.0
1796,-55.5,9107,18410,0.0
1798,-55.0,9107,18426,0.5
1799,-55.5,9107,18426,-0.5
1802,-55.5,9107,18426,0.0
1804,-55.5,9107,18426,0.0
1806,-55.5,9107,18426,0.0
1808,-55.5,9107,18426,0.0
1809,-56.0,9107,18426,-0.5
1812,-55.5,9107,18426,0.5
1814,-55.5,9107,18426,0.0
1815,-55.5,9107,18442,0.0
1817,-55.5,9107,18660,0.0
1820,-55.5,9107,18660,0.0
1821,-55.5,9107,18660,0.0
1824,-55.5,9107,18660,0.0
1825,-55.5,9107,18660,0.0
1828,-55.5,9107,18676,0.0
1829,-55.5,9107,18676,0.0
1831,-55.5,9107,18676,0.0
1833,-55.5,9107,18676,0.0
1836,-55.0,9107,18676,0.5
1837,-55.5,9107,18676,-0.5
1839,-55.5,9107,18692,0.0
1841,-55.5,9107,18895,0.0
1843,-55.5,9107,18910,0.0
1846,-55.5,9107,18910,0.0
1847,-55.5,9107,18910,0.0
1850,-55.5,9107,18910,0.0
1852,-55.5,9107,18910,0.0
1853,-55.5,9107,18910,0.0
1856,-55.0,9107,18910,0.5
1858,-55.5,9107,18910,-0.5
1859,-55.5,9107,18926,0.0
1862,-55.5,9107,18926,0.0
1864,-55.5,9107,18941,0.0
1866,-55.5,9107,18941,0.0
1868,-55.5,9107,19176,0.0
1870,-57.0,9107,19176,-1.5
1871,-55.0,9107,19191,2.0
1874,-55.5,9107,19191,-0.5
1875,-55.5,9107,19191,0.0
1878,-55.5,9107,19191,0.0
1879,-55.5,9107,19191,0.0
1882,-55.5,9107,19191,0.0
1883,-55.5,9107,19191,0.0
1886,-55.5,9107,19191,0.0
1888,-55.5,9107,19207,0.0
1890,-55.5,9107,19394,0.0
1891,-55.5,9107,19410,0.0
1893,-55.5,9107,19410,0.0
1896,-55.5,9107,19410,0.0
1897,-55.5,9107,19410,0.0
1900,-55.5,9107,19410,0.0
1901,-55.5,9107,19410,0.0
1904,-55.5,9107,19426,0.0
1905,-55.0,9107,19426,0.5
1907,-55.5,9107,19426,-0.5
1909,-55.5,9107,19426,0.0
1912,-55.5,9107,19457,0.0
1913,-55.5,9107,19457,0.0
1915,-55.5,9107,19660,0.0
1918,-55.0,9107,19676,0.5
1920,-55.0,9107,19676,0.0
1921,-55.0,9107,19676,0.0
1924,-55.0,9107,19676,0.0
1925,-55.0,9107,19676,0.0
1928,-55.5,9107,19676,-0.5
1929,-55.5,9107,19676,0.0
1932,-55.0,9107,19676,0.5
1934,-55.5,9107,19676,-0.5
1936,-55.5,9107,19676,0.0
1938,-55.0,9107,19691,0.5
1939,-55.0,9107,19910,0.0
1942,-55.0,9107,19926,0.0
1944,-55.5,9107,19926,-0.5
1946,-55.5,9107,19926,0.0
1947,-55.5,9107,19926,0.0
1950,-55.5,9107,19926,0.0
1951,-55.5,9107,19926,0.0
1954,-55.5,9107,19941,0.0
1956,-55.0,9107,19941,0.5
1957,-55.5,9107,19941,-0.5
1959,-55.5,9107,19941,0.0
1962,-55.5,9107,19941,0.0
1964,-55.5,9107,20160,0.0
1965,-55.5,9107,20160,0.0
1967,-55.0,9107,20160,0.5
1969,-55.5,9107,20160,-0.5
1971,-55.5,9107,20160,0.0
1973,-55.5,9107,20160,0.0
1976,-55.0,9107,20176,0.5
1977,-55.5,9107,20176,-0.5
1979,-55.5,9107,20176,0.0
1982,-55.5,9107,20176,0.0
1983,-55.5,9107,20176,0.0
1986,-55.0,9107,20191,0.5
1987,-55.5,9107,20394,-0.5
1990,-55.0,9107,20410,0.5
1991,-55.5,9107,20410,-0.5
1993,-55.5,9107,20410,0.0
1996,-55.5,9107,20410,0.0
1998,-55.5,9107,20410,0.0
2000,-55.5,9107,20410,0.0
2002,-55.0,9107,20410,0.5
2004,-55.5,9107,20410,-0.5
2006,-55.5,9107,20425,0.0
2007,-55.0,9107,20425,0.5
2009,-55.0,9107,20441,0.0
2012,-55.5,9107,20441,-0.5
2013,-55.0,9107,20676,0.5
2015,-55.0,9107,20676,0.0
2018,-55.5,9107,20676,-0.5
2020,-55.5,9107,20676,0.0
2021,-55.5,9107,20676,0.0
2023,-55.5,9107,20676,0.0
2026,-55.5,9107,20676,0.0
2028,-55.5,9107,20676,0.0
2030,-56.0,9107,20691,-0.5
2032,-56.0,9107,20691,0.0
2034,-56.0,9107,20691,0.0
2035,-56.0,9107,20691,0.0
2037,-56.0,9107,20910,0.0
2039,-55.5,9107,20910,0.5
2042,-56.0,9107,20925,-0.5
2044,-55.5,9107,20925,0.5
2046,-56.0,9107,20925,-0.5
2048,-56.0,9107,20925,0.0
2049,-56.0,9107,20925,0.0
2052,-56.5,9107,20925,-0.5
2054,-56.5,9107,20925,0.0
2055,-56.5,9107,20925,0.0
2057,-56.5,9107,20925,0.0
2059,-56.5,9107,20941,0.0
2062,-57.0,9107,21160,-0.5
2063,-56.5,9107,21160,0.5
2065,-57.0,9107,21160,-0.5
2067,-57.0,9107,21175,0.0
2069,-57.0,9107,21175,0.0
2071,-56.5,9107,21175,0.5
2074,-57.0,9107,21175,-0.5
2076,-56.5,9107,21175,0.5
2078,-57.0,9107,21175,-0.5
2080,-56.5,9107,21175,0.5
2082,-57.0,9107,21175,-0.5
2084,-56.5,9107,21191,0.5
2086,-55.5,9107,21410,1.0
2088,-55.5,9107,21410,0.0
2090,-55.0,9107,21410,0.5
2092,-55.0,9107,21410,0.0
2093,-55.0,9107,21410,0.0
2096,-55.0,9107,21410,0.0
2098,-54.5,9107,21425,0.5
2099,-54.5,9107,21425,0.0
2101,-54.5,9107,21425,0.0
2103,-54.0,9107,21425,0.5
2106,-54.0,9107,21425,0.0
2108,-54.0,9107,21441,0.0
2110,-53.5,9107,21660,0.5
2112,-53.0,9107,21660,0.5
2113,-52.5,9107,21660,0.5
2115,-52.5,9107,21660,0.0
2118,-52.0,9107,21660,0.5
2119,-51.5,9107,21660,0.5
2121,-51.5,9107,21660,0.0
2124,-51.5,9107,21660,0.0
2125,-51.5,9107,21660,0.0
2127,-51.5,9107,21675,0.0
2129,-51.5,9107,21675,0.0
2131,-51.0,9107,21691,0.5
2133,-51.0,9107,21691,0.0
2136,-51.0,9107,21925,0.0
2137,-50.5,9107,21925,0.5
2139,-50.5,9107,21925,0.0
2141,-50.5,9107,21925,0.0
2143,-50.5,9107,21925,0.0
2145,-50.0,9107,21925,0.5
2148,-50.0,9107,21925,0.0
2149,-50.0,9107,21925,0.0
2151,-50.0,9107,21925,0.0
2154,-50.0,9107,21941,0.0
2156,-50.0,9107,21941,0.0
2157,-50.0,9107,21941,0.0
2159,-50.0,9107,22160,0.0
2162,-50.0,9107,22175,0.0
2163,-50.5,9107,22175,-0.5
2166,-50.0,9107,22175,0.5
2168,-50.0,9107,22175,0.0
2169,-50.0,9107,22175,0.0
2172,-50.5,9107,22175,-0.5
2173,-50.5,9107,22175,0.0
2176,-50.0,9107,22175,0.5
2177,-50.5,9107,22175,-0.5
2179,-50.0,9107,22175,0.5
2181,-50.0,9107,22191,0.0
2184,-50.0,9107,22409,0.0
2186,-50.0,9107,22409,0.0
2188,-53.0,9107,22409,-3.0
2189,-55.0,9107,22409,-2.0
2192,-55.0,9107,22409,0.0
2193,-55.5,9107,22425,-0.5
2196,-55.5,9107,22425,0.0
2197,-55.5,9107,22425,0.0
2200,-55.5,9107,22425,0.0
2201,-55.5,9107,22425,0.0
2204,-55.5,9107,22425,0.0
2206,-55.5,9107,22441,0.0
2207,-55.5,9107,22659,0.0
2210,-55.5,9107,22659,0.0
2212,-55.5,9107,22659,0.0
2214,-55.5,9107,22659,0.0
2215,-55.5,9107,22659,0.0
2218,-55.5,9107,22659,0.0
2220,-55.5,9107,22659,0.0
2222,-55.5,9107,22659,0.0
2223,-55.5,9107,22659,0.0
2226,-55.5,9107,22659,0.0
2227,-55.0,9107,22659,0.5
2230,-55.5,9107,22691,-0.5
2232,-55.5,9107,22894,0.0
2233,-55.0,9107,22909,0.5
2235,-55.5,9107,22909,-0.5
2237,-55.5,9107,22909,0.0
2239,-55.5,9107,22909,0.0
2242,-55.5,9107,22909,0.0
2244,-55.0,9107,22909,0.5
