,RSS,Epc,time,diff
2916,-56.0,9107,30177,
2918,-56.0,9107,30177,0.0
2919,-56.5,9107,30177,-0.5
2922,-56.5,9107,30177,0.0
2924,-56.0,9107,30177,0.5
2925,-56.0,9107,30177,0.0
2927,-56.0,9107,30192,0.0
2930,-56.5,9107,30192,-0.5
2932,-56.0,9107,30192,0.5
2934,-56.5,9107,30192,-0.5
2935,-56.0,9107,30192,0.5
2938,-56.0,9107,30207,0.0
2939,-56.0,9107,30442,0.0
2941,-56.0,9107,30457,0.0
2943,-56.0,9107,30457,0.0
2946,-56.0,9107,30457,0.0
2948,-56.5,9107,30457,-0.5
2949,-56.0,9107,30457,0.5
2951,-56.0,9107,30457,0.0
2954,-56.0,9107,30473,0.0
2956,-56.0,9107,30473,0.0
2957,-56.5,9107,30473,-0.5
2960,-56.5,9107,30473,0.0
2962,-56.0,9107,30676,0.5
2964,-56.0,9107,30676,0.0
2966,-56.0,9107,30676,0.0
2967,-56.0,9107,30676,0.0
2970,-56.5,9107,30676,-0.5
2972,-56.0,9107,30691,0.5
2973,-56.0,9107,30691,0.0
2976,-56.0,9107,30691,0.0
2978,-56.0,9107,30691,0.0
2979,-56.0,9107,30691,0.0
2982,-56.0,9107,30691,0.0
2983,-55.5,9107,30707,0.5
2986,-55.5,9107,30926,0.0
2988,-55.5,9107,30926,0.0
2989,-55.5,9107,30926,0.0
2992,-55.5,9107,30926,0.0
2993,-55.5,9107,30926,0.0
2996,-55.5,9107,30926,0.0
2998,-55.5,9107,30926,0.0
2999,-55.5,9107,30926,0.0
3001,-55.5,9107,30926,0.0
3003,-55.0,9107,30941,0.5
3005,-55.0,9107,30941,0.0
3007,-55.0,9107,30957,0.0
3009,-55.5,9107,31160,-0.5
3012,-55.0,9107,31176,0.5
3014,-55.0,9107,31176,0.0
3015,-55.0,9107,31176,0.0
3017,-55.0,9107,31176,0.0
3019,-54.5,9107,31176,0.5
3021,-55.0,9107,31176,-0.5
3023,-55.0,9107,31176,0.0
3025,-55.0,9107,31176,0.0
3028,-55.0,9107,31176,0.0
3030,-55.0,9107,31176,0.0
3032,-55.5,9107,31207,-0.5
3033,-55.0,9107,31410,0.5
3036,-55.0,9107,31410,0.0
3038,-55.0,9107,31426,0.0
3040,-55.0,9107,31426,0.0
3041,-55.0,9107,31426,0.0
3043,-55.0,9107,31426,0.0
3045,-55.0,9107,31426,0.0
3048,-55.0,9107,31426,0.0
3050,-55.5,9107,31426,-0.5
3052,-55.5,9107,31426,0.0
3054,-55.5,9107,31426,0.0
3056,-55.5,9107,31458,0.0
3057,-55.5,9107,31458,0.0
3060,-55.5,9107,31676,0.0
3062,-55.5,9107,31691,0.0
3063,-55.5,9107,31691,0.0
3065,-56.0,9107,31691,-0.5
3067,-55.5,9107,31691,0.5
3069,-55.5,9107,31691,0.0
3072,-55.5,9107,31691,0.0
3074,-56.0,9107,31691,-0.5
3075,-56.0,9107,31691,0.0
3078,-56.0,9107,31691,0.0
3079,-56.0,9107,31691,0.0
3082,-56.5,9107,31707,-0.5
3083,-55.5,9107,31926,1.0
3085,-56.0,9107,31926,-0.5
3087,-56.0,9107,31926,0.0
3089,-55.5,9107,31926,0.5
3092,-56.0,9107,31926,-0.5
3094,-56.5,9107,31926,-0.5
3095,-56.0,9107,31941,0.5
3098,-56.5,9107,31941,-0.5
3100,-57.5,9107,31941,-1.0
3102,-57.0,9107,31941,0.5
3103,-57.5,9107,31941,-0.5
3106,-58.0,9107,31957,-0.5
3107,-57.5,9107,32178,0.5
3109,-57.5,9107,32178,0.0
3112,-57.5,9107,32178,0.0
3113,-57.5,9107,32178,0.0
3115,-58.0,9107,32178,-0.5
3118,-58.0,9107,32178,0.0
3120,-58.0,9107,32178,0.0
3122,-57.5,9107,32178,0.5
3124,-57.0,9107,32178,0.5
3125,-57.0,9107,32193,0.0
3128,-56.5,9107,32193,0.5
3129,-56.5,9107,32209,0.0
3132,-56.0,9107,32428,0.5
3134,-55.5,9107,32428,0.5
3135,-54.5,9107,32428,1.0
3138,-54.0,9107,32428,0.5
3139,-53.5,9107,32428,0.5
3141,-53.0,9107,32428,0.5
3143,-53.0,9107,32428,0.0
